25210.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
25220.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
25230.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
25240.0, {'GS_cluster_357187_359543': -0.013392857}, {'GS_cluster_357187_359543': 1}, {'GS_cluster_357187_359543': 1}, 
25250.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
25260.0, {'GS_cluster_357187_359543': -0.09375}, {'GS_cluster_357187_359543': 2}, {'GS_cluster_357187_359543': 5}, 
25270.0, {'GS_cluster_357187_359543': -0.25892857}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 7}, 
25280.0, {'GS_cluster_357187_359543': -0.6651786}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 11}, 
25290.0, {'GS_cluster_357187_359543': -1.2589285}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 15}, 
25300.0, {'GS_cluster_357187_359543': -0.96875}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 13}, 
25310.0, {'GS_cluster_357187_359543': -1.5491072}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 13}, 
25320.0, {'GS_cluster_357187_359543': -2.3080356}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 21}, 
25330.0, {'GS_cluster_357187_359543': -3.3660715}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 27}, 
25340.0, {'GS_cluster_357187_359543': -3.044643}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 30}, 
25350.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 31}, 
25360.0, {'GS_cluster_357187_359543': -3.7589285}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 26}, 
25370.0, {'GS_cluster_357187_359543': -2.267857}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 17}, 
25380.0, {'GS_cluster_357187_359543': -2.8839285}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 21}, 
25390.0, {'GS_cluster_357187_359543': -2.4330356}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 20}, 
25400.0, {'GS_cluster_357187_359543': -1.90625}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 26}, 
25410.0, {'GS_cluster_357187_359543': -3.236607}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 34}, 
25420.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 46}, 
25430.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 44}, 
25440.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 45}, 
25450.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 18}, {'GS_cluster_357187_359543': 47}, 
25460.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 46}, 
25470.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 40}, 
25480.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 41}, 
