57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 2}, 
57670.0, {'gneJ207': -0.13392857}, {'gneJ207': 2}, {'gneJ207': 3}, 
57680.0, {'gneJ207': -0.2857143}, {'gneJ207': 3}, {'gneJ207': 4}, 
57690.0, {'gneJ207': -0.73214287}, {'gneJ207': 6}, {'gneJ207': 14}, 
57700.0, {'gneJ207': -0.36160713}, {'gneJ207': 7}, {'gneJ207': 8}, 
57710.0, {'gneJ207': -0.6339286}, {'gneJ207': 9}, {'gneJ207': 9}, 
57720.0, {'gneJ207': -0.8035714}, {'gneJ207': 12}, {'gneJ207': 13}, 
57730.0, {'gneJ207': -1.5267857}, {'gneJ207': 15}, {'gneJ207': 20}, 
57740.0, {'gneJ207': -2.075893}, {'gneJ207': 14}, {'gneJ207': 19}, 
57750.0, {'gneJ207': -2.611607}, {'gneJ207': 15}, {'gneJ207': 23}, 
57760.0, {'gneJ207': -2.9107144}, {'gneJ207': 16}, {'gneJ207': 18}, 
57770.0, {'gneJ207': -3.7767856}, {'gneJ207': 16}, {'gneJ207': 21}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 19}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 16}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 14}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 13}, 
57820.0, {'gneJ207': -3.2901785}, {'gneJ207': 9}, {'gneJ207': 10}, 
57830.0, {'gneJ207': -2.638393}, {'gneJ207': 7}, {'gneJ207': 7}, 
57840.0, {'gneJ207': -2.950893}, {'gneJ207': 7}, {'gneJ207': 7}, 
57850.0, {'gneJ207': -3.3526785}, {'gneJ207': 11}, {'gneJ207': 11}, 
57860.0, {'gneJ207': -3.888393}, {'gneJ207': 12}, {'gneJ207': 12}, 
