57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.20089285}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': -0.5}, {'gneJ207': 3}, {'gneJ207': 10}, 
57660.0, {'gneJ207': -1.15625}, {'gneJ207': 6}, {'gneJ207': 18}, 
57670.0, {'gneJ207': -2.142857}, {'gneJ207': 10}, {'gneJ207': 26}, 
57680.0, {'gneJ207': -3.4464285}, {'gneJ207': 12}, {'gneJ207': 33}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 43}, 
57700.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 48}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 52}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 43}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 46}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 50}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 52}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 56}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 60}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 64}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 67}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 53}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 53}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 58}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57940.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
57950.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 54}, 
57960.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
57970.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
57980.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 46}, 
57990.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 46}, 
58000.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 52}, 
58010.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 52}, 
